DataSize(B),AvgPingPong(ms),Bandwidth(GB/s),Latency(ms)
1,0.001749,0.000533,0.000874
2,0.001986,0.000938,0.000993
4,0.002043,0.001824,0.001021
8,0.002534,0.002940,0.001267
16,0.002776,0.005369,0.001388
32,0.001997,0.014926,0.000998
48,0.003182,0.014049,0.001591
64,0.003568,0.016705,0.001784
96,0.002653,0.033698,0.001327
128,0.003207,0.037176,0.001603
256,0.003279,0.072713,0.001639
512,0.002693,0.177083,0.001346
1024,0.003861,0.246974,0.001931
2048,0.004405,0.432983,0.002203
4096,0.005509,0.692503,0.002754
8192,0.004155,1.836343,0.002077
16384,0.009659,1.579775,0.004829
32768,0.012142,2.513435,0.006071
65536,0.018081,3.375713,0.009040
131072,0.040582,3.007969,0.020291
262144,0.071509,3.414136,0.035754
524288,0.188507,2.590251,0.094254
1048576,0.311065,3.139416,0.155533
2097152,0.597600,3.268283,0.298800
4194304,1.139631,3.427646,0.569815
8388608,1.683473,4.640705,0.841736
16777216,3.408072,4.584704,1.704036
33554432,9.432016,3.313184,4.716008
67108864,14.734326,4.241796,7.367163
134217728,29.464778,4.242353,14.732389
