DataSize(B),AvgPingPong(ms),Bandwidth(GB/s),Latency(ms)
1,0.005787,0.000161,0.002893
2,0.003463,0.000538,0.001732
4,0.003379,0.001102,0.001690
8,0.004147,0.001797,0.002074
16,0.004956,0.003006,0.002478
32,0.004361,0.006833,0.002181
48,0.005628,0.007943,0.002814
64,0.003905,0.015262,0.001953
96,0.004473,0.019989,0.002236
128,0.004176,0.028549,0.002088
256,0.005051,0.047198,0.002526
512,0.006326,0.075383,0.003163
1024,0.007565,0.126064,0.003783
2048,0.006841,0.278830,0.003420
4096,0.007135,0.534636,0.003568
8192,0.009795,0.778871,0.004898
16384,0.009688,1.574950,0.004844
32768,0.014110,2.162854,0.007055
65536,0.029371,2.078091,0.014685
131072,0.042051,2.902906,0.021026
262144,0.082701,2.952092,0.041350
524288,0.146423,3.334729,0.073212
1048576,0.258615,3.776124,0.129308
2097152,0.525321,3.717965,0.262660
4194304,1.422096,2.746826,0.711048
8388608,2.339848,3.338892,1.169924
16777216,4.550346,3.433805,2.275173
33554432,8.947266,3.492687,4.473633
67108864,18.506339,3.377221,9.253170
134217728,35.921623,3.479798,17.960811
