DataSize(B),AvgPingPong(ms),Bandwidth(GB/s),Latency(ms)
1,0.002361,0.000394,0.001181
2,0.003283,0.000567,0.001641
4,0.002210,0.001686,0.001105
8,0.002251,0.003309,0.001126
16,0.002345,0.006354,0.001173
32,0.002178,0.013682,0.001089
48,0.002255,0.019826,0.001127
64,0.002685,0.022196,0.001343
96,0.002242,0.039873,0.001121
128,0.002311,0.051581,0.001156
256,0.003054,0.078080,0.001527
512,0.002228,0.213979,0.001114
1024,0.002247,0.424453,0.001123
2048,0.002296,0.830647,0.001148
4096,0.003411,1.118404,0.001705
8192,0.000547,13.948980,0.000273
16384,0.001291,11.819265,0.000646
32768,0.001411,21.630020,0.000705
65536,0.001389,43.944012,0.000694
131072,0.001457,83.771608,0.000729
262144,0.001377,177.350447,0.000688
524288,0.001347,362.406572,0.000674
1048576,0.001394,700.451517,0.000697
2097152,0.001422,1373.611886,0.000711
4194304,0.001760,2219.699851,0.000880
8388608,0.001697,4603.332688,0.000849
16777216,0.001870,8353.560125,0.000935
33554432,0.002114,14779.955937,0.001057
67108864,0.002252,27747.686794,0.001126
134217728,0.002494,50124.911224,0.001247
