DataSize(B),AvgPingPong(ms),Bandwidth(GB/s),Latency(ms)
1,0.002989,0.000312,0.001495
2,0.004033,0.000462,0.002016
4,0.003215,0.001159,0.001608
8,0.003332,0.002236,0.001666
16,0.003402,0.004380,0.001701
32,0.004584,0.006501,0.002292
48,0.003817,0.011712,0.001909
64,0.005468,0.010901,0.002734
96,0.002556,0.034975,0.001278
128,0.003192,0.037342,0.001596
256,0.004595,0.051884,0.002298
512,0.002754,0.173173,0.001377
1024,0.004311,0.221205,0.002156
2048,0.004455,0.428114,0.002228
4096,0.004373,0.872429,0.002186
8192,0.005045,1.512368,0.002522
16384,0.007687,1.985054,0.003843
32768,0.011716,2.604740,0.005858
65536,0.019223,3.175072,0.009612
131072,0.047467,2.571699,0.023733
262144,0.069212,3.527423,0.034606
524288,0.131229,3.720844,0.065614
1048576,0.256884,3.801571,0.128442
2097152,0.442727,4.411579,0.221363
4194304,1.159955,3.367587,0.579978
8388608,2.282628,3.422589,1.141314
16777216,5.081188,3.075068,2.540594
33554432,9.722462,3.214206,4.861231
67108864,20.656868,3.025628,10.328434
134217728,42.518425,2.939902,21.259212
