DataSize(B),DataSizePerRank(B),NumMPIRanks,MeanRingShiftTime(ms),Bandwidth(GB/s),Latency(ms)
2,1,2,0.004350,0.000214,0.002175
4,1,4,0.004970,0.000187,0.002485
8,2,4,0.004107,0.000454,0.002054
8,1,8,0.005184,0.000180,0.002592
16,4,4,0.004195,0.000888,0.002097
16,2,8,0.005268,0.000354,0.002634
16,1,16,0.004218,0.000221,0.002109
32,8,4,0.005092,0.001463,0.002546
32,4,8,0.004114,0.000906,0.002057
32,2,16,0.004557,0.000409,0.002278
32,1,32,0.007286,0.000128,0.003643
64,16,4,0.004462,0.003339,0.002231
64,8,8,0.006540,0.001139,0.003270
64,4,16,0.003953,0.000942,0.001977
64,2,32,0.009173,0.000203,0.004587
64,1,64,0.020779,0.000045,0.010389
128,1,128,0.157084,0.000006,0.078542
128,32,4,0.004359,0.006836,0.002180
128,16,8,0.004818,0.003093,0.002409
128,8,16,0.004593,0.001622,0.002296
128,4,32,0.013114,0.000284,0.006557
128,2,64,0.011404,0.000163,0.005702
128,1,128,0.062102,0.000015,0.031051
256,2,128,0.062511,0.000030,0.031255
256,64,4,0.005281,0.011287,0.002640
256,32,8,0.005036,0.005918,0.002518
256,16,16,0.004355,0.003422,0.002177
256,8,32,0.009073,0.000821,0.004536
256,4,64,0.013802,0.000270,0.006901
256,2,128,0.064776,0.000029,0.032388
512,4,128,0.058655,0.000064,0.029328
512,128,4,0.004705,0.025337,0.002352
512,64,8,0.004113,0.014492,0.002056
512,32,16,0.004749,0.006275,0.002375
512,16,32,0.007309,0.002039,0.003654
512,8,64,0.012135,0.000614,0.006068
512,4,128,0.083896,0.000044,0.041948
1024,8,128,0.092003,0.000081,0.046002
1024,256,4,0.004649,0.051286,0.002324
1024,128,8,0.004489,0.026554,0.002245
1024,64,16,0.007485,0.007963,0.003742
1024,32,32,0.006673,0.004466,0.003337
1024,16,64,0.010687,0.001394,0.005343
1024,8,128,0.087971,0.000085,0.043986
2048,16,128,0.071278,0.000209,0.035639
2048,512,4,0.003738,0.127578,0.001869
2048,256,8,0.003759,0.063429,0.001879
2048,128,16,0.004817,0.024746,0.002409
2048,64,32,0.006387,0.009332,0.003194
2048,32,64,0.014820,0.002011,0.007410
2048,16,128,0.070356,0.000212,0.035178
4096,32,128,0.064200,0.000464,0.032100
4096,1024,4,0.003675,0.259472,0.001838
4096,512,8,0.004856,0.098194,0.002428
4096,256,16,0.003673,0.064914,0.001836
4096,128,32,0.007447,0.016008,0.003723
4096,64,64,0.011317,0.005267,0.005658
4096,32,128,0.061513,0.000484,0.030757
8192,64,128,0.061520,0.000969,0.030760
8192,2048,4,0.004421,0.431434,0.002210
8192,1024,8,0.004024,0.237005,0.002012
8192,512,16,0.004022,0.118547,0.002011
8192,256,32,0.005833,0.040877,0.002916
8192,128,64,0.010628,0.011217,0.005314
8192,64,128,0.064440,0.000925,0.032220
16384,128,128,0.065269,0.001826,0.032634
16384,4096,4,0.004146,0.920043,0.002073
16384,2048,8,0.004800,0.397353,0.002400
16384,1024,16,0.004570,0.208664,0.002285
16384,512,32,0.006902,0.069085,0.003451
16384,256,64,0.012742,0.018711,0.006371
16384,128,128,0.067105,0.001776,0.033553
32768,256,128,0.058566,0.004071,0.029283
32768,8192,4,0.005137,1.485262,0.002568
32768,4096,8,0.005133,0.743146,0.002567
32768,2048,16,0.009649,0.197674,0.004824
32768,1024,32,0.007617,0.125198,0.003809
32768,512,64,0.014205,0.033569,0.007102
32768,256,128,0.105295,0.002264,0.052648
65536,512,128,0.093030,0.005126,0.046515
65536,16384,4,0.006909,2.208392,0.003455
65536,8192,8,0.007574,1.007336,0.003787
65536,4096,16,0.010451,0.365014,0.005225
65536,2048,32,0.007334,0.260075,0.003667
65536,1024,64,0.012804,0.074484,0.006402
65536,512,128,0.085411,0.005583,0.042705
